BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,SOCmean,SOCPImin,SOCPImax,EVDemandmean,EVDemandPImin,EVDemandPImax,TargetEVDemand,TargetSOC
1,2018,8,24,0,0,0,0,0,0,0,8.64535222292888,0,20.0369715023222,2.864957,0
1,2018,8,24,0,1,0,0,0,0,0,9.22923676203494,0,20.1945136730653,2.864957,0
1,2018,8,24,0,2,0,0,0,0,0,9.70521018238708,0,20.4863092199394,4.001321,0
1,2018,8,24,0,3,0,0,0,0,0,9.35066320707063,0,20.792212926608,7.978593,0
1,2018,8,24,1,0,0,0,0,0,0,9.06937428945934,0,20.9198422585346,5.891624,0
1,2018,8,24,1,1,0,0,0,0,0,8.66369519273749,0,20.7336275233522,15.183932,0
1,2018,8,24,1,2,0,0,0,0,0,8.62729440366441,0,21.0392210641934,19.953388,0
1,2018,8,24,1,3,0,0,0,0,0,8.51910557236221,0,20.756855678976,16.149647,0
1,2018,8,24,2,0,0,0,0,0,0,8.73526513280177,0,21.0886827071545,13.031343,0
1,2018,8,24,2,1,0,0,0,0,0,9.69630278945614,0,21.8969529131182,13.227209,0
1,2018,8,24,2,2,0,0,0,0,0,10.9164152345335,0,22.9463568580278,11.613453,0
1,2018,8,24,2,3,0,0,0,0,0,11.5847685587543,0.42824454119496,22.7412925763136,20.462308,0
1,2018,8,24,3,0,0,0,0,0,0,12.1327174983308,1.28900363042978,22.9764313662318,25.081313,0
1,2018,8,24,3,1,0,0,0,0,0,12.4435170395748,2.25043308259795,22.6366009965517,23.050602,0
1,2018,8,24,3,2,0,0,0,0,0,12.5862185588056,2.48707937557737,22.6853577420339,14.785962,0
1,2018,8,24,3,3,0,0,0,0,0,11.8352278472383,0.746451882431655,22.9240038120449,13.63441,0
1,2018,8,24,4,0,0,0,0,0,0,11.3083990230625,0.209964406448817,22.4068336396761,11.263452,0
1,2018,8,24,4,1,0,0,0,0,0,11.4324173390158,0.951120437132397,21.9137142408991,11.477006,0
1,2018,8,24,4,2,0,0,0,0,0,11.3993416796815,1.07937232878782,21.7193110305753,6.311692,0
1,2018,8,24,4,3,0,0,0,0,0,11.466166915926,1.13737341537186,21.7949604164802,4.219843,0
1,2018,8,24,5,0,0,0,0,0,0,11.9533988142745,1.45792958558895,22.44886804296,4.219843,0
1,2018,8,24,5,1,0,0,0,0,0,12.3828649571573,2.77007079205302,21.9956591222615,8.461176,0
1,2018,8,24,5,2,0,0,0,0,0,12.5577881819386,3.05683109692709,22.0587452669501,10.699096,0
1,2018,8,24,5,3,0,0,0,0,0,13.1556386257966,4.79883059884795,21.5124466527452,9.248981,0
1,2018,8,24,6,0,0,0,0,0,0,12.5685108641495,3.6879942248152,21.4490275034839,4.555119,0
1,2018,8,24,6,1,0,0,0,0,0,12.0804990586605,2.63687333502543,21.5241247822956,4.219843,0
1,2018,8,24,6,2,0,0,0,0,0,11.8550356641272,1.91128362289795,21.7987877053564,4.219843,0
1,2018,8,24,6,3,0,0,0,0,0,11.6938371134614,1.97436508308073,21.4133091438421,4.122872,0
1,2018,8,24,7,0,0,0,0,0,0,11.2018010970135,1.62405444181555,20.7795477522114,5.698935,0
1,2018,8,24,7,1,0,0,0,0,0,10.6276157929071,1.12581123557502,20.1294203502391,14.479578,0
1,2018,8,24,7,2,0,0,0,0,0,10.5975844641208,0.664158788296392,20.5310101399451,15.816989,0
1,2018,8,24,7,3,0,0,0,0,0,9.75759565038692,0,20.150884569837,24.772087,0
1,2018,8,24,8,0,0,0,0,0,0,9.39653283393897,0,19.4970286929812,20.48194,0
1,2018,8,24,8,1,0,0,0,0,0,9.42443235723625,0,19.388802058989,7.334713,0
1,2018,8,24,8,2,0,0,0,0,0,9.2032817216294,0,19.7185013634604,9.389995,0
1,2018,8,24,8,3,0,0,0,0,0,9.24783819010656,0,19.7026501785105,10.26221,0
1,2018,8,24,9,0,0,0,0,0,0,7.6955733601303,0,18.0746734551804,15.71723,0
1,2018,8,24,9,1,0,0,0,0,0,6.06422469696941,0,16.7753464408311,29.56835,0
1,2018,8,24,9,2,0,0,0,0,0,4.99359380627935,0,15.1557510298747,29.645809,0
1,2018,8,24,9,3,0,0,0,0,0,4.68691413794692,0,15.1435964408318,31.488587,0
1,2018,8,24,10,0,0,0,0,0,0,23.0947561009595,3.64571783904997,42.543794362869,25.095424,0
1,2018,8,24,10,1,0,0,0,0,0,22.747341767403,3.4536206736379,42.0410628611682,18.838689,0
1,2018,8,24,10,2,0,0,0,0,0,22.6047066724307,3.67200440865576,41.5374089362056,31.756246,0
1,2018,8,24,10,3,0,0,0,0,0,22.3703505274435,3.76836503243349,40.9723360224535,33.022296,0
1,2018,8,24,11,0,0,0,0,0,0,25.0657821683006,5.46979486029968,44.6617694763015,33.844285,0
1,2018,8,24,11,1,0,0,0,0,0,23.9461516096877,4.30846222747458,43.5838409919008,33.285119,0
1,2018,8,24,11,2,0,0,0,0,0,23.4681258397649,3.45192254098967,43.4843291385402,34.285304,0
1,2018,8,24,11,3,0,0,0,0,0,23.6790371987457,3.40799356239673,43.9500808350947,44.623385,0
1,2018,8,24,12,0,0,0,0,0,0,27.1156462297866,6.68855729353754,47.5427351660357,41.348678,0
1,2018,8,24,12,1,0,0,0,0,0,26.056614332638,5.66591516360557,46.4473135016705,48.272767,0
1,2018,8,24,12,2,0,0,0,0,0,25.1898435663298,4.40819212744218,45.9714950052175,50.651733,0
1,2018,8,24,12,3,0,0,0,0,0,24.3541087839575,4.13815934955542,44.5700582183596,62.854973,0
1,2018,8,24,13,0,0,0,0,0,0,25.1791094894127,4.16197700079609,46.1962419780292,42.868573,0
1,2018,8,24,13,1,0,0,0,0,0,25.3759998163133,4.60688380282852,46.145115829798,35.570912,0
1,2018,8,24,13,2,0,0,0,0,0,25.1782295536822,4.2837018432978,46.0727572640666,39.452801,0
1,2018,8,24,13,3,0,0,0,0,0,25.1506066214117,4.83478599667221,45.4664272461512,26.458753,0
1,2018,8,24,14,0,0,0,0,0,0,24.8047631482668,3.73008618578835,45.8794401107453,22.746355,0
1,2018,8,24,14,1,0,0,0,0,0,25.4552139237562,3.92469014241165,46.9857377051007,34.739288,0
1,2018,8,24,14,2,0,0,0,0,0,25.7021296198172,5.2496064978227,46.1546527418118,46.378463,0
1,2018,8,24,14,3,0,0,0,0,0,26.3901125415283,6.38163776385802,46.3985873191987,49.018904,0
1,2018,8,24,15,0,0,0,0,0,0,25.3363377995794,4.97188392876389,45.700791670395,63.746002,0
1,2018,8,24,15,1,0,0,0,0,0,26.4747158654627,6.24911623042804,46.7003155004974,60.996034,0
1,2018,8,24,15,2,0,0,0,0,0,26.1144079733623,5.81935139937776,46.4094645473468,42.557805,0
1,2018,8,24,15,3,0,0,0,0,0,25.8132065768828,4.22389132861712,47.4025218251485,47.487783,0
1,2018,8,24,16,0,0,0,0,0,0,22.9104586650791,1.71285937916947,44.1080579509887,58.117322,0
1,2018,8,24,16,1,0,0,0,0,0,23.1045812885853,2.78284236017899,43.4263202169916,51.23472,0
1,2018,8,24,16,2,0,0,0,0,0,23.2636808317497,3.75645405258026,42.7709076109192,51.590526,0
1,2018,8,24,16,3,0,0,0,0,0,23.5854019155466,4.58907903929357,42.5817247917997,31.191637,0
1,2018,8,24,17,0,0,0,0,0,0,21.5855752860887,4.99189639998942,38.179254172188,55.265624,0
1,2018,8,24,17,1,0,0,0,0,0,21.7006039357584,5.32513293306776,38.0760749384491,66.655819,0
1,2018,8,24,17,2,0,0,0,0,0,23.4047761563765,5.47227269566267,41.3372796170903,48.350279,0
1,2018,8,24,17,3,0,0,0,0,0,24.6629804630863,6.25201479300028,43.0739461331723,42.060052,0
1,2018,8,24,18,0,0,0,0,0,0,22.4545441120913,5.37939918501793,39.5296890391646,31.915855,0
1,2018,8,24,18,1,0,0,0,0,0,22.558837675001,4.654626957583,40.4630483924191,49.970082,0
1,2018,8,24,18,2,0,0,0,0,0,22.8623554426666,4.75845277350545,40.9662581118277,49.726191,0
1,2018,8,24,18,3,0,0,0,0,0,23.2928404950162,6.03160050264402,40.5540804873883,47.680478,0
1,2018,8,24,19,0,0,0,0,0,0,21.2209051993338,5.66584225460687,36.7759681440607,32.737276,0
1,2018,8,24,19,1,0,0,0,0,0,21.2520755999448,4.74620367476102,37.7579475251285,24.707208,0
1,2018,8,24,19,2,0,0,0,0,0,21.3359437149501,4.53045924297425,38.1414281869259,28.164733,0
1,2018,8,24,19,3,0,0,0,0,0,21.2418567209213,5.68847287724247,36.7952405646001,32.159209,0
1,2018,8,24,20,0,0,0,0,0,0,21.0104268253817,6.09634953770887,35.9245041130546,26.978925,0
1,2018,8,24,20,1,0,0,0,0,0,21.4614841605372,5.46257495947585,37.4603933615985,20.065682,0
1,2018,8,24,20,2,0,0,0,0,0,21.0981564309744,4.80017760451355,37.3961352574352,13.662096,0
1,2018,8,24,20,3,0,0,0,0,0,20.2691383756423,3.88559648632567,36.652680264959,38.859376,0
1,2018,8,24,21,0,0,0,0,0,0,20.3369857549006,2.92963787993805,37.7443336298632,37.909845,0
1,2018,8,24,21,1,0,0,0,0,0,20.6546681178366,4.53199835798924,36.777337877684,30.578998,0
1,2018,8,24,21,2,0,0,0,0,0,21.109691884374,4.20210871628637,38.0172750524616,27.995011,0
1,2018,8,24,21,3,0,0,0,0,0,21.60912061944,3.70716274603985,39.5110784928401,26.387416,0
1,2018,8,24,22,0,0,0,0,0,0,6.47949590765341,0,17.77625374314,41.498839,0
1,2018,8,24,22,1,0,0,0,0,0,6.63096016115807,0,17.8128082404783,30.430902,0
1,2018,8,24,22,2,0,0,0,0,0,6.75861870109975,0,17.4020365031453,20.952635,0
1,2018,8,24,22,3,0,0,0,0,0,7.1909046928385,0,18.4867307543457,29.66662,0
1,2018,8,24,23,0,0,0,0,0,0,7.30136928744725,0,18.2341723996966,35.47006,0
1,2018,8,24,23,1,0,0,0,0,0,7.16195485490174,0,18.5664095681465,41.250737,0
1,2018,8,24,23,2,0,0,0,0,0,7.52205598443946,0,18.7157910259034,28.74445,0
1,2018,8,24,23,3,0,0,0,0,0,8.2926425519551,0,19.6978528993433,27.100156,0
